property_id,source,title,district_canonical,locality,listing_intent,price,bedrooms,bathrooms,image_count,sample_image_1,sample_image_2,sample_image_3,listing_url,current_cnn_property_type,current_cnn_bedroom_class,current_style,current_environment,current_condition,suggested_bedrooms_from_text,suggested_cnn_bedroom_class,suggested_style,suggested_environment,suggested_condition,review_flags,review_priority,approved_for_training,review_status,reviewed_bedrooms,reviewed_cnn_bedroom_class,reviewed_style,reviewed_environment,reviewed_condition,reviewer_notes,reviewed_price,reviewed_listing_intent
creative-stunning-home-to-let,creativeproperties,Stunning Home To Let,Maseru,Maseru,rent,48000,4,3,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_3.jpeg,https://creativeproperties.co.ls/properties/stunning-home-to-let/,House,4,Traditional,Suburban,Good,,,,Suburban,,,low,yes,pending,,,,,,,,
creative-7275,creativeproperties,"Beautiful, Highly Finished House for Sale_Serious Potential Buyers ONLY",Maseru,Maseru,sale,120000,4,3,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_3.jpg,https://creativeproperties.co.ls/properties/7275/,House,4,Modern,Suburban,New,,,Modern,Suburban,New,price_low_for_sale,high,yes,reviewed,,,,,,"nan Checked manually: keep for CNN training. Price is likely imputed or missing from source, so use cautiously in recommendation work.",,
creative-rental-home_lower-thetsane,creativeproperties,Rental Home_Lower Thetsane,Maseru,Maseru,rent,24000,4,3,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home_lower-thetsane\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home_lower-thetsane\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home_lower-thetsane\image_3.jpg,https://creativeproperties.co.ls/properties/rental-home_lower-thetsane/,House,4,Traditional,Suburban,Good,4.0,4,,Suburban,,,low,yes,pending,,,,,,,,
creative-newly-renovated-town-house-to-let,creativeproperties,Newly Renovated Town House To let,Maseru,Maseru,rent,15000,3,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-newly-renovated-town-house-to-let\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-newly-renovated-town-house-to-let\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-newly-renovated-town-house-to-let\image_3.jpeg,https://creativeproperties.co.ls/properties/newly-renovated-town-house-to-let/,House,3,Traditional,Suburban,New,,,,Urban,New,environment_mismatch:Suburban->Urban,medium,yes,pending,,,,,,,,
creative-rental-property-upper-thamae,creativeproperties,Rental Property Upper Thamae,Maseru,Maseru,rent,8000,3,2,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-property-upper-thamae\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-property-upper-thamae\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-property-upper-thamae\image_3.jpeg,https://creativeproperties.co.ls/properties/rental-property-upper-thamae/,House,3,Traditional,Suburban,Good,,,,,,,low,yes,pending,,,,,,,,
creative-newly-renovated-home-for-rental,creativeproperties,Newly Renovated Home for Rental,Maseru,Hills View,rent,27000,3,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-newly-renovated-home-for-rental\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-newly-renovated-home-for-rental\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-newly-renovated-home-for-rental\image_3.jpeg,https://creativeproperties.co.ls/properties/newly-renovated-home-for-rental/,House,3,Traditional,Hillside,New,,,,Hillside,New,,low,yes,pending,,,,,,,,
creative-new-housing-development-now-selling_under-construction,creativeproperties,New Housing Development Now Selling_Under Construction,Maseru,Maseru,sale,1700000,3,2,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-new-housing-development-now-selling_under-construction\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-new-housing-development-now-selling_under-construction\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-new-housing-development-now-selling_under-construction\image_3.jpeg,https://creativeproperties.co.ls/properties/new-housing-development-now-selling_under-construction/,House,3,Modern,Suburban,New,,,Modern,,New,possible_development,high,no,exclude,,,,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",,
creative-rental-home,creativeproperties,Rental Home,Maseru,Maseru,rent,15000,5,4,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home\image_3.jpeg,https://creativeproperties.co.ls/properties/rental-home/,House,5+,Traditional,Suburban,Good,,,,,,,low,yes,pending,,,,,,,,
creative-7251,creativeproperties,Rental Unit Arrival Centre,Maseru,Arrival Centre,rent,120000,2,1,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7251\image_1.png,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7251\image_2.jpeg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7251\image_3.jpeg,https://creativeproperties.co.ls/properties/7251/,House,2,Traditional,Suburban,Good,,,,Urban,,environment_mismatch:Suburban->Urban|price_high_for_rent,high,yes,reviewed,,,,Urban,,nan Checked manually: keep for CNN training. Arrival Centre context suggests Urban environment. Rental price still needs later verification for recommendation use.,,
propmarket-55wgNg6vcMiZB1T01cRFN,propmarket,"2 Bedrooms, House",Maseru,Tsoapo Le Bolila,sale,600000,2,1,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-55wgNg6vcMiZB1T01cRFN\image_1.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-55wgNg6vcMiZB1T01cRFN\image_2.jpg,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\propmarket\propmarket-55wgNg6vcMiZB1T01cRFN\image_3.jpg,https://www.propmarket.co.ls/properties/55wgNg6vcMiZB1T01cRFN,House,2,Traditional,Urban,Good,2.0,2,,,,,low,yes,pending,,,,,,,,
