property_id,source,image_index,image_path,country,district_canonical,locality,listing_intent,cnn_property_type,cnn_bedroom_class,condition,style,environment,split
creative-stunning-home-to-let,creativeproperties,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_1.png,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
creative-stunning-home-to-let,creativeproperties,2,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_2.jpeg,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
creative-stunning-home-to-let,creativeproperties,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_3.jpeg,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
creative-stunning-home-to-let,creativeproperties,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_4.jpeg,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
creative-stunning-home-to-let,creativeproperties,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-stunning-home-to-let\image_5.jpeg,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
creative-7275,creativeproperties,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_1.png,Lesotho,Maseru,Maseru,sale,House,4,New,Modern,Suburban,train
creative-7275,creativeproperties,2,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_2.jpg,Lesotho,Maseru,Maseru,sale,House,4,New,Modern,Suburban,train
creative-7275,creativeproperties,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_3.jpg,Lesotho,Maseru,Maseru,sale,House,4,New,Modern,Suburban,train
creative-7275,creativeproperties,4,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_4.jpg,Lesotho,Maseru,Maseru,sale,House,4,New,Modern,Suburban,train
creative-7275,creativeproperties,5,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-7275\image_5.jpg,Lesotho,Maseru,Maseru,sale,House,4,New,Modern,Suburban,train
creative-rental-home_lower-thetsane,creativeproperties,1,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home_lower-thetsane\image_1.png,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
creative-rental-home_lower-thetsane,creativeproperties,2,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home_lower-thetsane\image_2.jpeg,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
creative-rental-home_lower-thetsane,creativeproperties,3,C:\Users\lepha\Documents\Codex\Real Estate System\generated\images\live\creativeproperties\creative-rental-home_lower-thetsane\image_3.jpg,Lesotho,Maseru,Maseru,rent,House,4,Good,Traditional,Suburban,train
