property_id,source,title,description_en,description_st,price,currency,district,location_text,property_type,bedrooms,bathrooms,image_paths,listing_url,condition,style,environment,amenities,listing_intent
creative-stunning-home-to-let,creativeproperties,Stunning Home To Let,Golf Course Estate,"Thepa ena ya mofuta wa house e fumaneha Maseru, Old Europa. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko ya M 48,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",48000.0,LSL,Maseru,"Maseru, Old Europa",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/stunning-home-to-let/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent
creative-7275,creativeproperties,"Beautiful, Highly Finished House for Sale_Serious Potential Buyers ONLY",Up-Market Property For Sale,"Thepa ena ya mofuta wa house e fumaneha Maseru, Lower Thetsane. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko e sa hlaloswang. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",,LSL,Maseru,"Maseru, Lower Thetsane",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_5.jpg\""]""",https://creativeproperties.co.ls/properties/7275/,New,Modern,Suburban,"""[\""yard\"", \""furnished\""]""",sale
creative-stunning-new-units-to-let-for-office-or-residential,creativeproperties,Stunning New Units To Let for Office or Residential,4 Bedroom Units to Let,"Thepa ena ya mofuta wa commercial e fumaneha Maseru, Katlehong. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko e sa hlaloswang. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",,LSL,Maseru,"Maseru, Katlehong",Commercial,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-new-units-to-let-for-office-or-residential\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-new-units-to-let-for-office-or-residential\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-new-units-to-let-for-office-or-residential\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-new-units-to-let-for-office-or-residential\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-new-units-to-let-for-office-or-residential\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/stunning-new-units-to-let-for-office-or-residential/,New,Modern,Suburban,"""[\""yard\"", \""furnished\""]""",rent
creative-available-for-office-or-residential,creativeproperties,Available for Office or Residential!,House to let for in the City!,"Thepa ena ya mofuta wa commercial e fumaneha Matsoatlareng, Maseru, Matsoatlareng. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 10,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",10000.0,LSL,Maseru,"Matsoatlareng, Maseru, Matsoatlareng",Commercial,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-available-for-office-or-residential\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-available-for-office-or-residential\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-available-for-office-or-residential\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-available-for-office-or-residential\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-available-for-office-or-residential\\\\image_5.jpg\""]""",https://creativeproperties.co.ls/properties/available-for-office-or-residential/,Good,Contemporary,Urban,"""[\""yard\"", \""furnished\""]""",rent
creative-rental-home_lower-thetsane,creativeproperties,Rental Home_Lower Thetsane,4 Bedroom Rental Property,"Thepa ena ya mofuta wa house e fumaneha Maseru, Lower Thetsane. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko ya M 24,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",24000.0,LSL,Maseru,"Maseru, Lower Thetsane",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_5.jpg\""]""",https://creativeproperties.co.ls/properties/rental-home_lower-thetsane/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent
creative-newly-renovated-town-house-to-let,creativeproperties,Newly Renovated Town House To let,Newly Renovated,"Thepa ena ya mofuta wa house e fumaneha Maseru, Arrival Center. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 15,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",15000.0,LSL,Maseru,"Maseru, Arrival Center",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/newly-renovated-town-house-to-let/,New,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent
creative-semi-furnished-apartment-to-let,creativeproperties,Semi-furnished Apartment To Let,Semi-Furnished Semi-Furnished,"Thepa ena ya mofuta wa apartment e fumaneha Maseru, Maseru West. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 15,700. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",15700.0,LSL,Maseru,"Maseru, Maseru West",Apartment,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-semi-furnished-apartment-to-let\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-semi-furnished-apartment-to-let\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-semi-furnished-apartment-to-let\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-semi-furnished-apartment-to-let\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-semi-furnished-apartment-to-let\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/semi-furnished-apartment-to-let/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent
creative-rental-property-upper-thamae,creativeproperties,Rental Property Upper Thamae,Upper Thamae Home,"Thepa ena ya mofuta wa house e fumaneha Maseru, Ha Thamae. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 8,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",8000.0,LSL,Maseru,"Maseru, Ha Thamae",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-property-upper-thamae\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-property-upper-thamae\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-property-upper-thamae\\\\image_3.jpeg\""]""",https://creativeproperties.co.ls/properties/rental-property-upper-thamae/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent
creative-rental-townhouse-in-arrival-centre,creativeproperties,Rental TownHouse in Arrival Centre,Residential or Office Space,"Thepa ena ya mofuta wa townhouse e fumaneha Maseru, Arrival Center. E na le dikamore tse 3 le dibate tse 1 mme e fumaneha ka theko ya M 10,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",10000.0,LSL,Maseru,"Maseru, Arrival Center",Townhouse,3,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-townhouse-in-arrival-centre\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-townhouse-in-arrival-centre\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-townhouse-in-arrival-centre\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-townhouse-in-arrival-centre\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-townhouse-in-arrival-centre\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/rental-townhouse-in-arrival-centre/,Good,Contemporary,Suburban,"""[\""yard\"", \""office-ready\"", \""furnished\""]""",rent
creative-duplex-for-office-space-only,creativeproperties,Duplex for Office Space Only!,Duplex Office Space to Let,"Thepa ena ya mofuta wa townhouse e fumaneha Mpilo. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 8,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",8000.0,LSL,Mpilo,Mpilo,Townhouse,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-duplex-for-office-space-only\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-duplex-for-office-space-only\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-duplex-for-office-space-only\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-duplex-for-office-space-only\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\2026-04-20-files-mentioned-by-the-user-group\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-duplex-for-office-space-only\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/duplex-for-office-space-only/,Good,Contemporary,Suburban,"""[\""yard\"", \""office-ready\"", \""furnished\""]""",rent
