property_id,source,title,district,location_text,property_type,bedrooms,bathrooms,price,image_count,issues,listing_url
creative-duplex-for-office-space-only,creativeproperties,Duplex for Office Space Only!,Mpilo,Mpilo,Townhouse,2,1,8000,5,district_needs_normalization,https://creativeproperties.co.ls/properties/duplex-for-office-space-only/
propmarket-lCYntDzFvj7rDtdWMxuwa,propmarket,"4 Bedrooms, House",Mantsopa Local Municipality,"Ladybrand, Mantsopa Local Municipality",House,4,1,3500000,3,district_needs_normalization,https://www.propmarket.co.ls/properties/lCYntDzFvj7rDtdWMxuwa
propmarket-Hq04C66rubfEhhoXnqFtj,propmarket,"7 Bedrooms, House",Mantsopa Local Municipality,"Ladybrand, Mantsopa Local Municipality",House,7,4,3500000,4,district_needs_normalization,https://www.propmarket.co.ls/properties/Hq04C66rubfEhhoXnqFtj
propmarket-CjMDJxYj7gYwhhmzGJLQZ,propmarket,"3 Bedrooms, Commercial",Mantsopa Local Municipality,"Ladybrand, Mantsopa Local Municipality",Apartment,3,1,1600000,4,district_needs_normalization,https://www.propmarket.co.ls/properties/CjMDJxYj7gYwhhmzGJLQZ
propmarket-ULpaoTct4UkIKVByFe5-m,propmarket,"3 Bedrooms, House",Mbizo,"Masowe Street, Mbizo",House,3,3,2500000,5,district_needs_normalization,https://www.propmarket.co.ls/properties/ULpaoTct4UkIKVByFe5-m
propmarket-edfhLQc1l43TE6yfto4ak,propmarket,Guest House,Maseru,"Masowe 1b Secondary School, Maseru",House,2,1,660,4,price_suspiciously_low,https://www.propmarket.co.ls/properties/edfhLQc1l43TE6yfto4ak
propmarket-YXVKHMOFsUcM8ViZ0MQVa,propmarket,Site,Lesotho,"Butha Buthe District, Lesotho",Site,0,0,28000,5,district_needs_normalization,https://www.propmarket.co.ls/properties/YXVKHMOFsUcM8ViZ0MQVa
propmarket-FNCZZ2TyT7trV3bklxrX_,propmarket,Guest House,Maseru,"Katlehong, Maseru",Apartment,2,1,750,4,price_suspiciously_low,https://www.propmarket.co.ls/properties/FNCZZ2TyT7trV3bklxrX_
propmarket-Jt0Cc35_yXnppB3KQQRT4,propmarket,Guest House,Maseru,"Khubetsoana, Maseru",House,0,0,500,4,price_suspiciously_low,https://www.propmarket.co.ls/properties/Jt0Cc35_yXnppB3KQQRT4
propmarket-1m6yiIhqoyyiUv9yQaiJO,propmarket,"21 Bedrooms, Guest House",Reserve (Butha Buthe),"Likileng(paballong), Reserve (butha Buthe)",House,21,11,5000000,4,district_needs_normalization|bedroom_outlier,https://www.propmarket.co.ls/properties/1m6yiIhqoyyiUv9yQaiJO
propmarket-GhWFPgYytJEJAsrpaxrR9,propmarket,Site,Butha Buthe,"Lipelaneng, Butha Buthe",Site,0,0,35000,2,district_needs_normalization,https://www.propmarket.co.ls/properties/GhWFPgYytJEJAsrpaxrR9
propmarket-OwHW5vnV2magFGDtlpYHa,propmarket,"12 Bedrooms, Guest House",Berea,"Ha Foso, Berea",House,12,1,1600000,5,bedroom_outlier,https://www.propmarket.co.ls/properties/OwHW5vnV2magFGDtlpYHa
propmarket-0wVaAjYyMb9zvZ21h07Nv,propmarket,"6 Units, Malaene",Maseru,"Semphetenyane, Maseru",House,2,1,700,1,price_suspiciously_low,https://www.propmarket.co.ls/properties/0wVaAjYyMb9zvZ21h07Nv
propmarket-P3O_3OB5htpSPSp-KYln4,propmarket,Site,Makola,Makola,Site,0,0,170000,4,district_needs_normalization,https://www.propmarket.co.ls/properties/P3O_3OB5htpSPSp-KYln4
propmarket-YRm5xyU8UJ0lw8vKz3LSx,propmarket,Site,Sehlabeng Ha Thuntsane,Sehlabeng Ha Thuntsane,Site,0,0,60000,3,district_needs_normalization,https://www.propmarket.co.ls/properties/YRm5xyU8UJ0lw8vKz3LSx
propmarket-YC3XPozCJANd8OtWIG21M,propmarket,"3 Bedrooms, House",Masowe 2,Masowe 2,House,3,3,20000,4,district_needs_normalization,https://www.propmarket.co.ls/properties/YC3XPozCJANd8OtWIG21M
propmarket-T54rOIcncaagQdinoCkYX,propmarket,"1 Unit, 3 Bedrooms, House",000.00,"1 Unit, 3 Bedrooms, House for M2,500,000.00",House,3,2,2500000,5,district_needs_normalization|location_numeric_noise,https://www.propmarket.co.ls/properties/T54rOIcncaagQdinoCkYX
propmarket-Nvyl2umKTbWZ79Ii9X9aS,propmarket,Site,Masowe 2,Masowe 2,Site,0,0,350000,4,district_needs_normalization,https://www.propmarket.co.ls/properties/Nvyl2umKTbWZ79Ii9X9aS
propmarket-57zMtyM1KMY0dAsB2Jhsg,propmarket,House,T.Y Ha-Motjoka,T.Y Ha-Motjoka,House,2,1,450000,4,district_needs_normalization,https://www.propmarket.co.ls/properties/57zMtyM1KMY0dAsB2Jhsg
propmarket-COK7x2IaR44RtYWMzf3u_,propmarket,"1 Unit, 3 Bedrooms, House",000.00,"1 Unit, 3 Bedrooms, House for M1,400,000.00",House,3,2,1400000,5,district_needs_normalization|location_numeric_noise,https://www.propmarket.co.ls/properties/COK7x2IaR44RtYWMzf3u_
propmarket-Gq-9WYcxJ3PIjK6uBNKd-,propmarket,"1 Unit, 3 Bedrooms, House",Setsoto Local Municipality,"Ficksburg, Setsoto Local Municipality",House,3,2,950000,5,district_needs_normalization,https://www.propmarket.co.ls/properties/Gq-9WYcxJ3PIjK6uBNKd-
sotholand-89fded66c98b,sotholand,Ground Floor,Size 566 Square Meters Ground Floor,serene Ha Pena-Pena neighborhood,House,3,1,1300000,4,district_needs_normalization,https://sotholandproperties.co.ls/property-details?id=89fded66c98b
sotholand-1aa9314b69,sotholand,Batchelor,1 Bedroom. Batchelor,Arrival Center,House,1,1,7000,3,district_needs_normalization,https://sotholandproperties.co.ls/property-details?id=1aa9314b69
sotholand-5bee4c67a368,sotholand,Ground Floor,Staff Quarters. Ground Floor,Lower Thetsane,House,4,2,3000000,3,district_needs_normalization,https://sotholandproperties.co.ls/property-details?id=5bee4c67a368
sotholand-12a1456f5e67,sotholand,Double storey house,Single Garage. Roughly Thousand Sqms Double Storey House,Lower Thetsane,House,3,3,1000000,4,district_needs_normalization,https://sotholandproperties.co.ls/property-details?id=12a1456f5e67
lhldc-thabaneng,lesothohousing,Thabaneng,Mafeteng,"Thabaneng, left of A1 road to Mafeteng town, Mafeteng State/county: Lesotho, Thabaneng, Mafeteng",Site,0,0,1,1,price_suspiciously_low,https://lesothohousing.org.ls/property/thabaneng/
lhldc-manobo,lesothohousing,Maseru North Bound (MANOBO),Maseru,"Berea Mokhethoaneng along Maseru main north 1 road, Berea, MASERU NORTH BOUND, Berea",Site,0,0,1,4,price_suspiciously_low,https://lesothohousing.org.ls/property/manobo/
lhldc-police-post-qs-nek,lesothohousing,Police Post (Q’s nek),Qacha'S Nek,"In town, near Qacha`s neck police headquarters, Qacha's Nek State/county: Lesotho, Police Post, Qacha's Nek",Site,0,0,2019,1,district_needs_normalization,https://lesothohousing.org.ls/property/police-post-qs-nek/
lhldc-thaba-tsoeu-qs-nek,lesothohousing,Thaba Tsoeu (Q’s Nek),Qacha'S Nek,"Thaba Ts’oeu next the army base, Qacha's Nek State/county: Lesotho, Thaba Tsoeu, Qacha's Nek",Site,0,0,2019,2,district_needs_normalization,https://lesothohousing.org.ls/property/thaba-tsoeu-qs-nek/
lhldc-ty-lehcorp-st-agnes,lesothohousing,TY LeHCorp (St. Agnes),Berea,"Main north 1 road, near ST Agnes High school, Berea State/county: Lesotho, TY LeHCorp, Berea",Site,0,0,1,1,price_suspiciously_low,https://lesothohousing.org.ls/property/ty-lehcorp-st-agnes/
lhldc-khubetsoana-lehcorp,lesothohousing,Khubetsoana LeHCorp,Maseru,"Main north 1 road to Teyateyaneng, Maseru State/county: Lesotho, khubetsoana: LEHCORP, Maseru",Site,0,0,1,1,price_suspiciously_low,https://lesothohousing.org.ls/property/khubetsoana-lehcorp/
lhldc-ntjabane-project,lesothohousing,Ntjabane project,Berea,"Along main north 1 road to Kolonyama, Berea, Ntjabane, Berea",Site,0,0,1,1,price_suspiciously_low,https://lesothohousing.org.ls/property/ntjabane-project/
lhldc-matala,lesothohousing,Matala,Maseru,"Maseru East Along Main South Road, Maseru State/county: Lesotho, Matala, Maseru",Site,0,0,1,2,price_suspiciously_low,https://lesothohousing.org.ls/property/matala/
lhldc-ntjabane-project-2,lesothohousing,Ntjabane project,Maseru,"Along main north 1 road to Kolonyama, Maseru State/county: Lesotho, Ntjabane, Maseru",Site,0,0,1,1,price_suspiciously_low,https://lesothohousing.org.ls/property/ntjabane-project-2/
moso-compounded-apartments-hillsview-1,mosoholdings,Compounded Apartments,Hillsview,Hillsview,Apartment,2,1,5800,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0HdYh7s6uDbtQ5CKfpn4J3De6fEc1SbNdQSdfoxZ4tj99bTeSPQDFaRgMxaohj7iUl
moso-duplex-upper-thamae-3,mosoholdings,Duplex,Upper Thamae,Upper Thamae,Townhouse,2,1,2700,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02v3EUzfQ2aQJQJa78z4HsdSgbj6L4gyjvLYtxWxrUfbF99irtEfBEXXLULhT8ZTYHl
moso-bachelor-pad-lesia-thetsane-4,mosoholdings,Bachelor Pad,Thetsane,"Lesia, Thetsane",Apartment,1,1,2500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0HdYh7s6uDbtQ5CKfpn4J3De6fEc1SbNdQSdfoxZ4tj99bTeSPQDFaRgMxaohj7iUl
moso-duplex-moshoeshoe-2-5,mosoholdings,Duplex,Moshoeshoe 2,Moshoeshoe 2,Townhouse,2,1,5500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid04RDhyk8Lr32LoNTqUTJ31pQfexHYQ7zkpwq7aqySwmPw9kxH3D5bXKuusfxJimibl
moso-fitted-duplex-moshoeshoe-2-6,mosoholdings,Fitted Duplex,Moshoeshoe 2,Moshoeshoe 2,Townhouse,2,1,3000,1,district_needs_normalization,https://mosoholdings.co.ls/listings-search/
moso-fitted-duplex-upper-thamae-7,mosoholdings,Fitted Duplex,Upper Thamae,Upper Thamae,Townhouse,2,1,4000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0GMinLruFdtFEq6AqJ7mncFSzjNmAcqNwUR1728wH1rvZAyZKLHn9auRKcvqvFzmHl
moso-bachelor-pad-leqele-8,mosoholdings,Bachelor Pad,Leqele,Leqele,Apartment,1,1,1800,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid035BmwDzG4krcAjpYj5HPg9HdFU2zTdLrNsBZWjBmocDZohb2JNWA5nBmKTXdjUDhzl
moso-double-storey-apartments-khubetsoana-9,mosoholdings,Double Storey Apartments,Khubetsoana,Khubetsoana,Apartment,6,4,30000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0uR5uKZqgt49xGyPZ7Bk7ymkxTJvYFHvHapoT8tsQHeoerp1eRLP1678t9Ai7bAQal
moso-compounded-apartments-high-court-10,mosoholdings,Compounded Apartments,High Court,High Court,Apartment,2,1,8000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02Fi3TExFwm2QDYRwWAZvWum3UFne53pKNtaNUGN9gSbVGE9XbAuJT1L2Vq7VF5qA4l
moso-bachelor-pad-moshoeshoe-2-11,mosoholdings,Bachelor Pad,Moshoeshoe 2,Moshoeshoe 2,Apartment,1,1,6000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02FDKougJTniU6NdP8eDB9cFE4WPfPtuooroXkznjWgHKg1dEsH7nY6PVVmQS5aQrnl
moso-bachelor-pad-lecoop-thetsane-12,mosoholdings,Bachelor Pad,Thetsane,"Lecoop, Thetsane",Apartment,1,1,4500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0tVF8AR7hMajEDvaw3xHohUSgYfTh25ekTAC4i1CPrjGv3puuhTnMRNHhYGXnxv6Ul
moso-double-storey-duplex-ha-thetsane-13,mosoholdings,Double Storey Duplex,Ha Thetsane,Ha Thetsane,Townhouse,2,1,7000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02h99HM9pjQTCCRFJ9R9ZtmuSx1udzF3537CvoaXydJ1bYutZiRcbqqZLB9HUfVPMil
moso-fitted-duplex-leqele-police-region-14,mosoholdings,Fitted Duplex,Leqele Police Region,Leqele Police Region,Townhouse,2,1,3000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02yoYYf2kcECjLnNQcQ19tmctmV8iy9byc3NEbz2ukhoVGEgrCnSfTZsPUG5c7kg2bl
moso-fitted-duplex-thetsane-15,mosoholdings,Fitted Duplex,Thetsane,Thetsane,Townhouse,2,1,4000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02Knowj6tEdAQLjWeacskUddq9kunVEcXDmtnxkwiQxeQ3RHeEu4fPy2d8Y9WsYAaul
moso-duplex-mabote-16,mosoholdings,Duplex,Mabote,Mabote,Townhouse,2,1,4050,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid07XcpPjHaND9GZHakUWrusrEVoezydN3E1vZR9SSXajT1rXKf8LaiLxYj2GFT1As7l
moso-fitted-duplex-sea-point-18,mosoholdings,Fitted Duplex,Sea Point,Sea Point,Townhouse,2,1,2600,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid023sCnoZ4s6MvHEQktMmobftxf8hcrRNMHM5eatgJJ2sm7X66SSGhGKMFPKKT9Lbw7l
moso-duplex-katlehong-21,mosoholdings,Duplex,Katlehong,Katlehong,Townhouse,2,1,7200,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid025A6rXJ7ReyY5WiA9drjyz7dbRhjsJ8NYHZAjxcZ5xgR8Nkzx1FejgwzkrnZtDoMil
moso-duplex-thetsane-lecoop-22,mosoholdings,Duplex,Thetsane Lecoop,Thetsane Lecoop,Townhouse,2,1,3900,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid02R1irCRnsKCiCoTSvLKNkHnANWcqRTP9Q1mhWXTC4fciemQf6VL9Tis1gqgParnTkl
moso-duplex-ha-tsolo-halekhowa-23,mosoholdings,Duplex,Halekhowa,"Ha Tsolo, Halekhowa",Townhouse,2,1,6000,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0LPydtpSvq2bLa9ugNDUwQkZFMqtzs6U22tKm1ufZ8H2YPVtTiYoaorwcn8c7uTvKl
moso-duplex-sea-point-24,mosoholdings,Duplex,Sea Point,Sea Point,Townhouse,2,1,2500,1,district_needs_normalization,https://www.facebook.com/MOSSHOLDINGS/posts/pfbid0yYyyuxGMuB3KfMJgJnb35ivm4tFARikr53Gm7L5mxtrR7iFZ7mCtdBiRpEaYmD5Ql
